Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
871310 - Not mechanically propelled,,0.00,0.00,1,,,,Albania
871390 - Other,,0.00,0.00,1,,,,Albania
871410 - Of motorcycles (including mopeds),361,3.70,0.00,6,,6,,Albania
871420 - Of carriages for disabled persons,,0.00,0.00,1,,,,Albania
"871491 -- Frames and forks, and parts thereof","856,303",4.70,0.00,3,,3,,Albania
871492 -- Wheel rims and spokes,11,4.70,0.00,2,,2,,Albania
"871493 -- Hubs, other than coaster braking hubs and hub brakes, and free- wheel sprocket-wheels",,4.70,0.00,1,,1,,Albania
"871494 -- Brakes, including coaster braking hubs and hub brakes, and parts thereof",,4.70,0.00,2,,2,,Albania
871495 -- Saddles,,4.70,0.00,1,,1,,Albania
"871496 -- Pedals and crank-gear, and parts thereof",,4.70,0.00,3,,3,,Albania
871499 -- Other,"16,987",4.70,0.00,4,,4,,Albania
871500 Baby carriages and parts thereof.,,2.70,0.00,2,,2,,Albania
"871610 -Trailers and semi-trailers of the caravan type, for housing or camping",,2.70,0.00,2,,2,,Albania
871620 - Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,2.70,0.00,1,,1,,Albania
871631 -- Tanker trailers and tanker semi-trailers,"53,391",2.70,0.00,1,,1,,Albania
871639 -- Other,"19,537",2.70,0.00,4,,4,,Albania
871640 - Other trailers and semi-trailers,"19,563",2.70,0.00,1,,1,,Albania
871680 - Other vehicles,"71,868",1.70,0.00,1,,1,,Albania
871690 - Parts,"394,594",1.70,0.00,4,,4,,Albania
,2015,"16,446,527",6.29,0.00,184,,171,,Albania
870110 - Pedestrian controlled tractors,,3.00,0.00,1,,1,,Albania
870120 - Road tractors for semi-trailers,"1,664",16.00,0.00,2,,2,,Albania
870130 -Track-laying tractors,,0.00,0.00,1,,,,Albania
870190 - Other,,0.88,0.00,8,,1,,Albania
870210 -With compression-ignition internal combustion piston engine (diesel or semi-diesel),"190,659",13.00,0.00,4,,4,,Albania
870290 - Other,,12.40,0.00,5,,5,,Albania
870310 -Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,7.50,0.00,2,,2,,Albania
"870321 -- Of a cylinder capacity not exceeding 1,000 cc","17,179",10.00,0.00,2,,2,,Albania
"870322 -- Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc","47,044",10.00,0.00,2,,2,,Albania
"870323 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc","1,212,525",10.00,0.00,3,,3,,Albania
"870324 -- Of a cylinder capacity exceeding 3,000 cc","8,829",10.00,0.00,2,,2,,Albania
"870331 -- Of a cylinder capacity not exceeding 1,500 cc",454,10.00,0.00,2,,2,,Albania
"870332 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc","11,374,122",10.00,0.00,3,,3,,Albania
"870333 -- Of a cylinder capacity exceeding 2,500 cc","62,516",10.00,0.00,3,,3,,Albania
870390 - Other,,10.00,0.00,2,,2,,Albania
870410 - Dumpers designed for off-highway use,,0.00,0.00,2,,,,Albania
870421 -- g.v.w. not exceeding 5 tonnes,"43,820",13.50,0.00,5,,5,,Albania
870422 -- g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,"4,270",15.83,0.00,3,,3,,Albania
870423 -- g.v.w. exceeding 20 tonnes,"24,389",15.83,0.00,3,,3,,Albania
870431 -- g.v.w. not exceeding 5 tonnes,"1,775",13.50,0.00,5,,5,,Albania
870432 -- g.v.w. exceeding 5 tonnes,,15.83,0.00,3,,3,,Albania
870490 - Other,,10.00,0.00,1,,1,,Albania
870510 - Crane lorries,,3.70,0.00,1,,1,,Albania
870520 -Mobile drilling derricks,,3.70,0.00,1,,1,,Albania
870530 - Fire fighting vehicles,,3.70,0.00,1,,1,,Albania
870540 - Concrete-mixer lorries,,3.70,0.00,1,,1,,Albania
870590 - Other,"218,041",3.70,0.00,2,,2,,Albania
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",,9.88,0.00,4,,4,,Albania
870710 - For the vehicles of heading 87.03,"303,082",4.50,0.00,2,,2,,Albania
870790 - Other,"494,382",4.50,0.00,2,,2,,Albania
870810 - Bumpers and parts thereof,"8,487",3.75,0.00,2,,2,,Albania
870821 -- Safety seat belts,,3.75,0.00,2,,2,,Albania
870829 -- Other,"35,192",3.75,0.00,2,,2,,Albania
870830 - Brakes and servo-brakes; parts thereof,"486,902",4.00,0.00,3,,3,,Albania
870840 - Gear boxes and parts thereof,"899,443",3.88,0.00,4,,4,,Albania
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof","58,999",4.00,0.00,5,,5,,Albania
870870 - Road wheels and parts and accessories thereof,130,3.75,0.00,4,,4,,Albania
870880 - Suspension systems and parts thereof (including shock- absorbers),"1,353",3.80,0.00,5,,5,,Albania
