Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
950490 - Other,"2,815,796",10.00,10.00,2,,,,European Union
950510 - Articles for Christmas festivities,"28,403",10.00,10.00,1,,,,European Union
950590 - Other,"306,085",10.00,10.00,2,,,,European Union
950611 -- Skis,"4,844",10.00,10.00,1,,,,European Union
950612 -- Ski-fastenings (ski-bindings),"17,510",10.00,10.00,1,,,,European Union
950619 -- Other,"718,141",10.00,10.00,1,,,,European Union
950621 -- Sailboards,,10.00,10.00,1,,,,European Union
950629 -- Other,"201,190",10.00,10.00,1,,,,European Union
"950631 -- Clubs, complete","27,644",10.00,10.00,1,,,,European Union
950632 -- Balls,"23,866",10.00,10.00,1,,,,European Union
950639 -- Other,"31,074",10.00,10.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,"143,742",10.00,10.00,1,,,,European Union
"950651 -- Lawn-tennis rackets, whether or not strung","125,628",10.00,10.00,1,,,,European Union
950659 -- Other,"27,055",10.00,10.00,2,,,,European Union
950661 -- Lawn-tennis balls,963,10.00,10.00,1,,,,European Union
950662 -- Inflatable,"44,823",10.00,10.00,4,,,,European Union
950669 -- Other,"86,145",10.00,10.00,5,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached","69,970",10.00,10.00,1,,,,European Union
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","3,629,365",10.00,10.00,2,,,,European Union
950699 -- Other,"5,092,805",10.00,10.00,9,,,,European Union
950710 - Fishing rods,,10.00,10.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled","2,240",10.00,10.00,1,,,,European Union
950730 - Fishing reels,,10.00,10.00,1,,,,European Union
950790 - Other,"25,475",10.00,10.00,2,,,,European Union
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,European Union
950890 - Other,"1,412,542",10.00,10.00,1,,,,European Union
,2008,"33,348,532",10.00,10.00,56,,,,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","4,866,874",10.00,10.00,4,,,,European Union
950410 - Video games of a kind used with a television receiver,"3,577,450",10.00,10.00,1,,,,European Union
950420 - Articles and accessories for billiards of all kinds,"18,723",10.00,10.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","1,089,029",10.00,10.00,3,,,,European Union
950440 - Playing cards,"2,043",10.00,10.00,1,,,,European Union
950490 - Other,"1,047,613",10.00,10.00,2,,,,European Union
950510 - Articles for Christmas festivities,"6,536",10.00,10.00,1,,,,European Union
950590 - Other,"1,167,995",10.00,10.00,2,,,,European Union
950611 -- Skis,"20,558",10.00,10.00,1,,,,European Union
950612 -- Ski-fastenings (ski-bindings),"3,485",10.00,10.00,1,,,,European Union
950619 -- Other,"373,104",10.00,10.00,1,,,,European Union
950621 -- Sailboards,,10.00,10.00,1,,,,European Union
950629 -- Other,"65,589",10.00,10.00,1,,,,European Union
"950631 -- Clubs, complete",316,10.00,10.00,1,,,,European Union
950632 -- Balls,"1,544",10.00,10.00,1,,,,European Union
950639 -- Other,"76,573",10.00,10.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,"285,786",10.00,10.00,1,,,,European Union
"950651 -- Lawn-tennis rackets, whether or not strung","25,446",10.00,10.00,1,,,,European Union
950659 -- Other,"10,888",10.00,10.00,2,,,,European Union
950661 -- Lawn-tennis balls,"1,561",10.00,10.00,1,,,,European Union
950662 -- Inflatable,"267,305",10.00,10.00,4,,,,European Union
950669 -- Other,"585,939",10.00,10.00,5,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached","53,026",10.00,10.00,1,,,,European Union
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","11,313,811",10.00,10.00,2,,,,European Union
950699 -- Other,"8,003,055",10.00,10.00,9,,,,European Union
950710 - Fishing rods,,10.00,10.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled","2,473",10.00,10.00,1,,,,European Union
950730 - Fishing reels,,10.00,10.00,1,,,,European Union
950790 - Other,"16,995",10.00,10.00,2,,,,European Union
950810 - Travelling circuses and travelling menageries,"15,021",10.00,10.00,1,,,,European Union
950890 - Other,"449,792",10.00,10.00,1,,,,European Union
,2007,"15,056,515",10.00,10.00,55,,,,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","2,434,936",10.00,10.00,4,,,,European Union
