Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
390290 - Other,"196,429",2.17,0.00,3,,1,,South Africa
390311 -- Expansible,,6.50,0.00,1,,1,,South Africa
390319 -- Other,431,6.50,0.00,1,,1,,South Africa
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,0.00,1,,1,,South Africa
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,,6.50,0.00,1,,1,,South Africa
390390 - Other,"6,994",2.17,0.00,3,,1,,South Africa
"390410 - Poly(vinyl chloride), not mixed with any other substances",,6.50,0.00,1,,1,,South Africa
390421 -- Non-plasticised,,6.50,0.00,1,,1,,South Africa
390422 -- Plasticised,"1,867",6.50,0.00,1,,1,,South Africa
390430 - Vinyl chloride-vinyl acetate copolymers,"2,290",6.50,0.00,1,,1,,South Africa
390440 - Other vinyl chloride copolymers,,6.50,0.00,1,,1,,South Africa
390450 - Vinylidene chloride polymers,,3.25,0.00,2,,1,,South Africa
390461 -- Polytetrafluoroethylene,,6.50,0.00,1,,1,,South Africa
390469 -- Other,,4.33,0.00,3,,2,,South Africa
390490 - Other,,6.50,0.00,1,,1,,South Africa
390512 -- In aqueous dispersion,,6.50,0.00,1,,1,,South Africa
390519 -- Other,,6.50,0.00,1,,1,,South Africa
390521 -- In aqueous dispersion,,6.50,0.00,1,,1,,South Africa
390529 -- Other,,6.50,0.00,1,,1,,South Africa
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",,6.50,0.00,1,,1,,South Africa
390591 -- Copolymers,,6.50,0.00,1,,1,,South Africa
390599 -- Other,"23,496",3.25,0.00,2,,1,,South Africa
390610 - Poly(methyl methacrylate),,6.50,0.00,1,,1,,South Africa
390690 - Other,"497,779",0.93,0.00,7,,1,,South Africa
390710 - Polyacetals,,6.50,0.00,1,,1,,South Africa
390720 - Other polyethers,"14,612",4.88,0.00,4,,3,,South Africa
390730 - Epoxide resins,"37,143",6.50,0.00,1,,1,,South Africa
390740 - Polycarbonates,"687,123",6.50,0.00,1,,1,,South Africa
390750 - Alkyd resins,,6.50,0.00,1,,1,,South Africa
390760 - Poly(ethylene terephthalate),"1,418,713",6.50,0.00,2,,2,,South Africa
390770 - Poly(lactic acid),,0.00,0.00,1,,,,South Africa
390791 -- Unsaturated,"625,938",6.50,0.00,2,,2,,South Africa
390799 -- Other,"1,740",3.25,0.00,2,,1,,South Africa
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12","178,260",6.50,0.00,1,,1,,South Africa
390890 - Other,"22,120",6.50,0.00,1,,1,,South Africa
390910 - Urea resins; thiourea resins,39,6.50,0.00,1,,1,,South Africa
390920 - Melamine resins,,6.50,0.00,1,,1,,South Africa
390930 - Other amino-resins,"55,826",6.50,0.00,1,,1,,South Africa
390940 - Phenolic resins,"1,360,785",6.50,0.00,1,,1,,South Africa
390950 - Polyurethanes,"42,589",3.25,0.00,2,,1,,South Africa
391000 Silicones in primary forms.,"36,009",6.50,0.00,1,,1,,South Africa
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes",,6.50,0.00,1,,1,,South Africa
391190 - Other,"390,589",3.30,0.00,5,,3,,South Africa
391211 -- Non-plasticised,,6.50,0.00,1,,1,,South Africa
391212 -- Plasticised,,6.50,0.00,1,,1,,South Africa
391220 - Cellulose nitrates (including collodions),"1,685,941",6.33,0.00,3,,3,,South Africa
391231 -- Carboxymethylcellulose and its salts,"23,771",6.50,0.00,1,,1,,South Africa
391239 -- Other,"1,305",3.25,0.00,2,,1,,South Africa
