Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","4,659,235",4.00,4.00,4,,,,United States of America
081050 - Kiwifruit,,8.80,8.80,1,,,,United States of America
081060 - Durians,,8.80,8.80,1,,,,United States of America
081070 - Persimmons,"79,604",8.80,8.80,1,,,,United States of America
081090 - Other,"7,208,175",4.40,4.40,2,,,,United States of America
081110 - Strawberries,"304,627",17.60,17.60,3,1,,,United States of America
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","643,384",14.67,14.67,7,1,,,United States of America
081190 - Other,"10,293,098",10.75,10.75,10,2,,,United States of America
081210 - Cherries,"32,082",8.80,8.80,1,,,,United States of America
081290 - Other,"98,556",7.16,7.16,5,,,,United States of America
081310 - Apricots,"8,457",5.60,5.60,1,,,,United States of America
081320 - Prunes,"66,509,868",9.60,9.60,1,,,,United States of America
081330 - Apples,"1,493,919",3.20,3.20,1,,,,United States of America
081340 - Other fruit,"3,034,921",3.28,3.28,5,,,,United States of America
081350 - Mixtures of nuts or dried fruits of this Chapter,"254,311",6.86,6.86,7,,,,United States of America
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","75,737",1.60,1.60,1,,,,United States of America
,2013,"2,423,084,699",6.67,6.67,124,23,,,United States of America
080111 -- Desiccated,"16,409",0.00,0.00,1,,,,United States of America
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,United States of America
080119 -- Other,"106,760",0.00,0.00,1,,,,United States of America
080121 -- In shell,19,0.00,0.00,1,,,,United States of America
080122 -- Shelled,159,0.00,0.00,1,,,,United States of America
080131 -- In shell,"9,003",0.00,0.00,1,,,,United States of America
080132 -- Shelled,"733,122",0.00,0.00,1,,,,United States of America
080211 -- In shell,"11,550,997",2.80,2.80,2,,,,United States of America
080212 -- Shelled,"1,249,576,073",1.75,1.75,2,,,,United States of America
080221 -- In shell,"1,535,113",3.20,3.20,1,,,,United States of America
080222 -- Shelled,"629,960",3.20,3.20,1,,,,United States of America
080231 -- In shell,"127,485,625",4.00,4.00,1,,,,United States of America
080232 -- Shelled,"209,198,985",5.10,5.10,1,,,,United States of America
080241 -- In shell,120,5.60,5.60,1,,,,United States of America
080242 -- Shelled,"1,008",5.60,5.60,1,,,,United States of America
080251 -- In shell,"374,109,987",1.60,1.60,1,,,,United States of America
080252 -- Shelled,"25,473,041",1.60,1.60,1,,,,United States of America
080261 -- In shell,983,2.00,2.00,1,,,,United States of America
080262 -- Shelled,"1,729,137",2.00,2.00,1,,,,United States of America
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,United States of America
080280 - Areca nuts,13,0.00,0.00,1,,,,United States of America
080290 - Other,"69,450,190",1.33,1.33,3,,,,United States of America
080310 - Plantains,,16.00,16.00,2,,,,United States of America
080390 - Other,"28,738",16.00,16.00,2,1,,,United States of America
080410 - Dates,"3,118,598",7.70,7.70,1,,,,United States of America
080420 - Figs,"17,158",6.80,6.80,2,,,,United States of America
080430 - Pineapples,"96,256",5.80,5.80,1,,,,United States of America
080440 - Avocados,"1,736,082",4.00,4.00,1,,,,United States of America
"080450 - Guavas, mangoes and mangosteens","17,753,535",0.00,0.00,1,,,,United States of America
080510 - Oranges,"157,782",16.00,16.00,2,1,,,United States of America
"080520 - Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids","7,148,074",,,5,5,,,United States of America
"080540 - Grapefruit, including pomelos","41,625,632",1.50,1.50,1,,,,United States of America
"080550 - Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia)","69,535",12.80,12.80,2,1,,,United States of America
080590 - Other,"48,884",12.80,12.80,1,,,,United States of America
080610 - Fresh,"15,991,594",14.40,14.40,2,1,,,United States of America
080620 - Dried,"119,207,887",2.40,2.40,3,,,,United States of America
080711 -- Watermelons,,8.80,8.80,1,,,,United States of America
080719 -- Other,,8.80,8.80,1,,,,United States of America
080720 - Papaws (papayas),"81,660",0.00,0.00,1,,,,United States of America
080810 - Apples,"23,027,052",,,2,2,,,United States of America
080830 - Pears,"2,112,603",,,2,2,,,United States of America
080840 - Quinces,,7.20,7.20,1,,,,United States of America
080910 - Apricots,"298,274",,,1,1,,,United States of America
080921 -- Sour cherries (Prunus cerasus),133,,,1,1,,,United States of America
080929 -- Other,"10,114,661",,,1,1,,,United States of America
"080930 - Peaches, including nectarines","23,958",,,2,2,,,United States of America
